日本語,ひらがな,english
整数,せいすう,integer
文字列,もじれつ,string
与える,あたえる,to give
文字,もじ,character
表します,あらわします,to represent
問題文,もんだいぶん,problem statement
制約,せいやく,constraints
入力,にゅうりょく,input
出力,しゅつりょく,output
例,れい,example
言語,げんご,language
提出,ていしゅつ,submission
英小文字,えいこもじ,english lower case letters
からなる,からなる,consists of
正整数,せいせいすう,positive integer
幅,はば,width
高さ,たかさ,height
奥行き,おくゆき,depth
なお,なお,note that
割る,わる,to separate
余り,あまり,remainder
割った余り,わったあまり,modulo
値,あたい,value
上限,じょうげん,upper limit
注意,ちゅうい,caution
変数,へんすう,variable
代入,だいにゅう,assignment;substitution
操作,そうさ,operation
物とする,ものとする,to assume;to suppose
それぞれ,それぞれ,each;respectively
いずれか,いずれか,either of;any of
総数,そうすう,count
数,かず,number
組合せ,くみあわせ,combination;matching
判定,はんてい,determination;judgement;decision
発言,はつげん,statement;proposal
順,じゅん,order
空白,くうはく,blank space
空ける,空ける,to make space
以上,いじょう,not less than;and upwards
求める,もとめる,to search;to seek;to find
設定,せってい,setup
数字,すうじ,digit
種類,しゅるい,counter for kinds;category;kind
形式,けいしき,form;format
標準入力,ひょうじゅんにゅうりょく,standard input
得る,える,to obtain
合計,ごうけい,total sum
異なる,ことなる,to differ
桁,けた,digit;magnitude
十進法,じっしんほう,decimal number system
含まれる,ふくまれる,to be composed of
連続,れんぞく,succession;series;continuation
作成,さくせい,creation;production
縦2マス,たて２ます,2 rows
横3マス,よこ３ます,3 columns
マス目,ますめ,box in a grid
転かす,こかす,to rotate
一致,いっち,coincidence;match
以下,いか,not exceeding;and below
平方数,へいほうすう,square number
最大,さいだい,greatest
但し,ただし,provided that;but;however
指します,さします,to represent;to identify;to nominate
